imdb_title_id,Mystery,Thriller,Action,Adventure,Horror,Crime,Drama,Comedy,War,Romance,Fantasy,SciFi,Family,Biography,Music,Western,Animation,History,Sport,Film-Noir
tt0099397,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0099399,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0099401,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0099409,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0099422,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
tt0099423,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0099441,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0099447,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
tt0099450,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
tt0099459,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
tt0099460,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
tt0099461,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
tt0099462,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
tt0099463,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
tt0099472,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
tt0099474,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
tt0099480,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
tt0099487,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
tt0099496,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0099498,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
tt0099502,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0099506,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
tt0099512,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
tt0099520,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0099523,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0099524,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
tt0099528,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0099546,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
tt0099554,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
tt0099557,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0099562,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0099572,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0099575,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0099577,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
tt0099578,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0099581,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
tt0099582,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
tt0099587,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0099595,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
tt0099601,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
tt0099606,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0099611,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
tt0099612,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
tt0099614,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
tt0099615,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
tt0099622,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0099623,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
tt0099624,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
tt0099625,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
tt0099642,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0099648,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
tt0099653,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
tt0099654,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
tt0099656,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
tt0099663,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
tt0099664,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
tt0099674,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0099675,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
tt0099685,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
tt0099691,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
tt0099697,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0099699,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
tt0099700,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
tt0099701,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0099703,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0099704,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
tt0099710,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0099720,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0099726,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0099731,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
tt0099733,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
tt0099739,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0099740,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
tt0099743,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
tt0099747,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
